battery_id,test_id,Capacity,ambient_temperature,Re,Rct,SoH,fault_tier,voltage_range,capacity_fade,cumulative_fade,total_impedance,gas_ppm,smoke_density
33,1,0.0661862775965941,24,0.1369700210671293,0.1476131092679615,6.246501876569745,short,0.9933872069620971,0.0,0.0661862775965941,0.2845831303350908,59175.17977491204,1.5252680382622001
46,1,1.0036564312827845,24,0.0774487310768207,0.2035327691447027,100.0,long,0.0,0.0,1.0036564312827845,0.2809815002215234,203.61735698828815,0.13155998960517307
34,1,0.5572875343779802,24,0.0760692861385043,0.1901713108562376,53.748373556439645,short,0.4795578574045047,0.0,0.5572875343779802,0.2662405969947419,716.5737084173265,0.680748817195759
38,1,0.6408309267950132,24,0.1202818618148796,0.1423282899473063,62.54408358023519,short,0.3837758627071752,0.0,0.6408309267950132,0.2626101517621859,426.90053061347805,0.5176206158731277
47,1,0.9836894380416044,24,0.0545429502985307,0.1831297016940335,100.0,long,0.0,0.0,0.9836894380416044,0.2376726519925642,202.65846625276663,0.12204239919153559
39,1,0.1124696723479733,24,0.0698366437084404,0.0764385134888008,11.040837539549967,short,0.906200079336079,0.0,0.1124696723479733,0.1462751571972412,36708.12171997952,1.416035654122691
40,1,0.5148950207528444,24,0.1012272817931461,0.1117117303646399,51.20409317118704,short,0.490678926297506,0.0,0.5148950207528444,0.212939012157786,873.6761092899984,0.6941360932864683
48,1,0.9775722971473684,24,0.0713065217554947,0.2141265945506388,100.0,long,0.0,0.0,0.9775722971473684,0.2854331163061335,212.6743472915291,0.13127605481702143
47,3,0.9836894380416044,24,0.0545429502985307,0.1831297016940335,100.0,long,0.0,0.0,1.9673788760832087,0.2376726519925642,200.30525614065047,0.13047569425589112
40,3,0.5148950207528444,24,0.1012272817931461,0.1117117303646399,51.20409317118704,short,0.490678926297506,0.0,1.0297900415056889,0.212939012157786,863.3095815707842,0.6992826835435716
18,3,1.0490734265711967,24,0.063123287276907,0.0912598936401676,100.0,long,0.0,0.0,1.0490734265711967,0.1543831809170746,200.36582307187538,0.10377359596840109
39,3,0.1124696723479733,24,0.0698366437084404,0.0764385134888008,11.040837539549967,short,0.906200079336079,0.0,0.2249393446959466,0.1462751571972412,36705.80579201331,1.4078439678274748
46,3,1.0036564312827845,24,0.0774487310768207,0.2035327691447027,100.0,long,0.0,0.0,2.007312862565569,0.2809815002215234,207.41962271566035,0.13365995491539995
48,3,0.9775722971473684,24,0.0713065217554947,0.2141265945506388,100.0,long,0.0,0.0,1.9551445942947367,0.2854331163061335,185.86719755342202,0.14497654613898642
34,3,0.5572875343779802,24,0.0760692861385043,0.1901713108562376,53.748373556439645,short,0.4795578574045047,0.0,1.1145750687559604,0.2662405969947419,692.8476447111893,0.674414142997251
33,3,0.0661862775965941,24,0.1369700210671293,0.1476131092679615,6.246501876569745,short,0.9933872069620971,0.0,0.1323725551931882,0.2845831303350908,59164.58975808952,1.5090001218091216
